system:index,analysis_class,class_id,late_season_B11,late_season_B12,late_season_B2,late_season_B3,late_season_B4,late_season_B5,late_season_B6,late_season_B7,late_season_B8,late_season_B8A,late_season_EVI,late_season_LSWI,late_season_NDRE,late_season_NDVI,sample_uid,spring_growth_B11,spring_growth_B12,spring_growth_B2,spring_growth_B3,spring_growth_B4,spring_growth_B5,spring_growth_B6,spring_growth_B7,spring_growth_B8,spring_growth_B8A,spring_growth_EVI,spring_growth_LSWI,spring_growth_NDRE,spring_growth_NDVI,summer_peak_B11,summer_peak_B12,summer_peak_B2,summer_peak_B3,summer_peak_B4,summer_peak_B5,summer_peak_B6,summer_peak_B7,summer_peak_B8,summer_peak_B8A,summer_peak_EVI,summer_peak_LSWI,summer_peak_NDRE,summer_peak_NDVI,winter_establishment_B11,winter_establishment_B12,winter_establishment_B2,winter_establishment_B3,winter_establishment_B4,winter_establishment_B5,winter_establishment_B6,winter_establishment_B7,winter_establishment_B8,winter_establishment_B8A,winter_establishment_EVI,winter_establishment_LSWI,winter_establishment_NDRE,winter_establishment_NDVI,.geo
0_0,Beet (sugar beet / fodder beet),4,0.2856,0.22225,0.1417,0.16825,0.17250001,0.21635,0.3218,0.3786,0.3748,0.4082,0.33254708662164667,0.104682334,0.2970137,0.3929831,Crop_Map_of_England_2022_Norfolk_refined_895510,0.2658,0.1993,0.064,0.09,0.1026,0.1379,0.1987,0.2218,0.2632,0.2457,0.2952608847710402,0.0063041802,0.24851431,0.43104383,0.24625,0.15545,0.06255,0.09485,0.09405,0.14575,0.324,0.3981,0.3994,0.4307,0.5195177163886904,0.23413713,0.50083303,0.612968,0.25705,0.16305,0.04555,0.07325,0.08405,0.1416,0.2448,0.2835,0.3384,0.3517,0.4243512920672341,0.08738168,0.4021455,0.59365,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,Beet (sugar beet / fodder beet),4,0.15305,0.06655,0.0632,0.0951,0.0607,0.13775,0.4222,0.5035,0.5008,0.5268,0.7919413040080312,0.54452616,0.57828504,0.78891295,Crop_Map_of_England_2022_Suffolk_refined_524046,0.2346,0.2178,0.07,0.1026,0.1252,0.1408,0.155,0.1688,0.1776,0.1729,0.08323339528024833,-0.15396263,0.09156311,0.16731086,0.1778,0.0849,0.039,0.0824,0.0526,0.1255,0.4132,0.4924,0.486,0.5056,0.7030283407725231,0.46987954,0.58865464,0.7969321,0.12315,0.1003,0.0361,0.045875,0.062124997,0.07295,0.074375,0.077025,0.077583335,0.083008334,0.0577059307298282,-0.18444715,0.10443261,0.18806162,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,Beet (sugar beet / fodder beet),4,0.2398,0.1564,0.0546,0.0865,0.0758,0.1312,0.2517,0.305,0.3412,0.3288,0.489996349845378,0.18636996,0.43167573,0.6416398,Crop_Map_of_England_2022_Norfolk_refined_168755,0.2396,0.1719,0.0697,0.1,0.119,0.1572,0.2497,0.2792,0.2556,0.2942,0.2302791041483131,0.023334747,0.29522467,0.35032538,0.24805,0.1683,0.05345,0.0858,0.094500005,0.1498,0.2357,0.28255,0.30470002,0.3072,0.3276078414291699,0.11031692,0.3407171,0.49765274,0.1949,0.1308,0.046,0.0616,0.0755,0.1196,0.1764,0.1934,0.1984,0.217,0.20607338944533007,-0.024602018,0.30289945,0.38738737,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,Beet (sugar beet / fodder beet),4,0.19515,0.12105,0.0824,0.09345,0.08405,0.1276,0.2097,0.2366,0.269,0.25795,0.3668757640460606,0.1840957,0.36364278,0.5274975,Crop_Map_of_England_2022_Cambridgeshire_refined_515065,0.2431,0.1764,0.0708,0.0991,0.1021,0.1453,0.2483,0.2834,0.2956,0.3157,0.3145945778355158,0.062353995,0.34423548,0.46396843,0.2365,0.1638,0.0767,0.1028,0.1128,0.1503,0.3003,0.353,0.382,0.3912,0.4702843040632483,0.21664275,0.44014665,0.5243416,0.17525,0.11,0.03465,0.05155,0.056199998,0.0993,0.14925,0.1571,0.1612,0.1844,0.2050603388736082,-0.055248283,0.3068957,0.48367712,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,Beet (sugar beet / fodder beet),4,0.2319,0.12815,0.0686,0.127,0.08,0.16375,0.3621,0.37045,0.42299998,0.41945,0.6175793482160146,0.29176432,0.43822625,0.68186027,Crop_Map_of_England_2022_Norfolk_refined_1161580,0.33675,0.25665,0.0865,0.1204,0.1644,0.1986,0.23345,0.2588,0.2812,0.29145,0.1777104200209047,-0.09957666,0.17471172,0.26151603,0.24835,0.15655,0.0575,0.1023,0.0782,0.15365,0.34565,0.39395,0.41820002,0.4193,0.5770196754673722,0.26420859,0.4678811,0.68987453,0.16845,0.1083,0.04535,0.06135,0.07525,0.111,0.15235,0.173,0.1973,0.20765,0.23206428955425387,0.0937332,0.270548,0.4675301,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,Beet (sugar beet / fodder beet),4,0.1526,0.0848,0.0551,0.0898,0.05995,0.1367,0.38675,0.44025,0.45740002,0.4553,0.7054569360177391,0.4996692,0.5396978,0.77007663,Crop_Map_of_England_2022_Norfolk_refined_242632,0.3386,0.2989,0.0885,0.1216,0.16510001,0.18845,0.20755,0.2249,0.23789999,0.24025,0.12981829834039738,-0.17278385,0.14659396,0.22244258,0.1757,0.0955,0.0562,0.0837,0.060850002,0.1275,0.40725,0.46455,0.4774,0.49205,0.6748783471225068,0.48088962,0.5030598,0.7210212,0.17515,0.1111,0.0449,0.07145,0.0708,0.13155,0.1685,0.18215,0.19620001,0.1963,0.15829440032494368,-0.0058913426,0.23911731,0.4154003,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,Beet (sugar beet / fodder beet),4,0.155,0.1106,0.0618,0.0796,0.1072,0.1376,0.1588,0.1769,0.1876,0.1962,0.14700505749327883,0.0951547,0.17555423,0.27272728,Crop_Map_of_England_2022_Suffolk_refined_324001,0.3288,0.3328,0.0905,0.1222,0.1578,0.1893,0.2143,0.229,0.223,0.2472,0.12499999692083048,-0.1687389,0.1341853,0.19800743,0.19,0.1536,0.0761,0.0978,0.0918,0.1535,0.3229,0.3952,0.41,0.4235,0.5275182512000419,0.2899611,0.45829713,0.6199766,0.1949,0.0924,0.04815,0.0753,0.06525,0.1391,0.23575,0.2647,0.2976,0.3147,0.32103120979802613,0.20262334,0.28929234,0.47633097,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,Beet (sugar beet / fodder beet),4,0.1419,0.0682,0.0382,0.063,0.0312,0.0885,0.3313,0.4163,0.484,0.429,0.6214082407246244,0.53428376,0.6356275,0.83870965,Crop_Map_of_England_2022_Norfolk_refined_1053260,0.20375,0.1553,0.0501,0.07395,0.06755,0.113,0.19835,0.2211,0.2825,0.2466,0.39620572298342177,0.14874466,0.37850544,0.61690295,0.1812,0.10035,0.02885,0.05515,0.03705,0.09465,0.2684,0.3292,0.3662,0.35025,0.5770227959580407,0.31271565,0.5789931,0.80870837,0.1741,0.0906,0.0368,0.06655,0.05735,0.1115,0.2189,0.2582,0.3143,0.28725,0.45793772661063536,0.29324043,0.4015486,0.6869781,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,Beet (sugar beet / fodder beet),4,0.2748,0.2766,0.0866,0.1151,0.1516,0.1549,0.15965,0.1721,0.1925,0.18155,0.07039279518567876,-0.17611642,0.07921684,0.1188619,Crop_Map_of_England_2022_Norfolk_refined_465774,0.3149,0.3082,0.1032,0.1375,0.1728,0.19735,0.21305,0.2258,0.2326,0.23765,0.0916637349970735,-0.14232282,0.07793374,0.14334735,0.25235,0.1457,0.0616,0.0934,0.07605,0.1364,0.36995,0.42785,0.4346,0.43905,0.563258145277693,0.26508322,0.50058675,0.666568,0.13525,0.11505,0.04615,0.0592,0.07015,0.0853,0.0907,0.09615,0.098000005,0.102,0.048878378145454426,-0.13200437,0.079747565,0.13535841,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,Beet (sugar beet / fodder beet),4,0.0723,0.0542,0.03715,0.0533,0.046350002,0.0631,0.1346,0.15735,0.157,0.16225,0.23919517621479003,0.3707718,0.44204962,0.54423773,Crop_Map_of_England_2022_Norfolk_refined_907611,0.2519,0.2152,0.0734,0.1004,0.1218,0.1456,0.1903,0.2006,0.2346,0.218,0.1917293397034617,-0.011599004,0.22962964,0.32069516,0.1719,0.1043,0.0541,0.0956,0.0713,0.1434,0.3788,0.4406,0.436,0.4591,0.6648993694973798,0.42736343,0.50522846,0.7358779,0.1909,0.1172,0.0461,0.0686,0.068,0.132,0.2387,0.2662,0.2876,0.2921,0.38267989218095355,0.1859794,0.39321962,0.59805775,"{""type"":""MultiPoint"",""coordinates"":[]}"
