county,reference_class,n,s2_error_rate,s1s2_error_rate,fixed_by_s1,degraded_after_s1,persistent_disagreement,delta_error_rate_s1s2_minus_s2
Norfolk,Pulses / field beans and peas,88,0.5681818181818181,0.3977272727272727,19,4,31,-0.17045454545454541
Suffolk,Maize,52,0.3653846153846154,0.34615384615384615,6,5,13,-0.019230769230769273
Suffolk,Pulses / field beans and peas,62,0.4193548387096774,0.33870967741935487,6,1,20,-0.08064516129032251
Norfolk,Winter wheat,74,0.31081081081081086,0.2702702702702703,3,0,20,-0.04054054054054057
Cambridgeshire,Maize,63,0.3015873015873016,0.2698412698412699,3,1,16,-0.031746031746031744
Cambridgeshire,Winter barley,41,0.24390243902439024,0.2682926829268293,2,3,8,0.024390243902439046
Norfolk,Maize,102,0.3137254901960784,0.2549019607843137,12,6,20,-0.05882352941176472
Norfolk,Potatoes,109,0.37614678899082565,0.23853211009174313,17,2,24,-0.13761467889908252
Norfolk,Winter barley,109,0.25688073394495414,0.23853211009174313,6,4,22,-0.01834862385321101
Cambridgeshire,Spring barley,50,0.30000000000000004,0.21999999999999997,5,1,10,-0.08000000000000007
Cambridgeshire,Potatoes,33,0.2727272727272727,0.21212121212121215,3,1,6,-0.06060606060606055
Suffolk,Potatoes,71,0.3098591549295775,0.21126760563380287,13,6,9,-0.09859154929577463
Norfolk,Beet (sugar beet / fodder beet),128,0.296875,0.203125,13,1,25,-0.09375
Cambridgeshire,Pulses / field beans and peas,62,0.4193548387096774,0.19354838709677424,15,1,11,-0.22580645161290314
Cambridgeshire,Beet (sugar beet / fodder beet),31,0.25806451612903225,0.19354838709677424,2,0,6,-0.06451612903225801
Cambridgeshire,Winter wheat,58,0.1724137931034483,0.18965517241379315,0,1,10,0.017241379310344862
Suffolk,Winter wheat,78,0.23076923076923073,0.16666666666666663,6,1,12,-0.0641025641025641
Suffolk,Winter barley,70,0.19999999999999996,0.15714285714285714,4,1,10,-0.042857142857142816
Suffolk,Spring barley,49,0.18367346938775508,0.1428571428571429,2,0,7,-0.04081632653061218
Suffolk,Beet (sugar beet / fodder beet),64,0.21875,0.140625,6,1,8,-0.078125
Cambridgeshire,Oilseed rape,55,0.19999999999999996,0.12727272727272732,4,0,7,-0.07272727272727264
Norfolk,Spring barley,122,0.12295081967213117,0.10655737704918034,5,3,10,-0.016393442622950838
Suffolk,Oilseed rape,80,0.21250000000000002,0.08750000000000002,11,1,6,-0.125
Norfolk,Oilseed rape,72,0.19444444444444442,0.06944444444444442,10,1,4,-0.125
