setting_id,n_estimators,max_features,min_samples_leaf,class_weight,class,f1_score_s1s2,user_accuracy_s1s2,producer_accuracy_s1s2,support_s1s2,f1_score_s2_only,user_accuracy_s2_only,producer_accuracy_s2_only,support_s2_only,f1_score_delta,user_accuracy_delta,producer_accuracy_delta
rf_01,300,sqrt,1,balanced,Winter wheat,0.8039702233250621,0.8393782383419689,0.7714285714285715,210.0,0.7417840375586855,0.7314814814814815,0.7523809523809524,210.0,0.06218618576637658,0.10789675686048739,0.01904761904761909
rf_01,300,sqrt,1,balanced,Winter barley,0.7990970654627539,0.7937219730941704,0.8045454545454546,220.0,0.7603686635944701,0.7710280373831776,0.75,220.0,0.03872840186828386,0.022693935710992763,0.054545454545454564
rf_01,300,sqrt,1,balanced,Spring barley,0.8366890380313199,0.827433628318584,0.8461538461538461,221.0,0.7669491525423728,0.7211155378486056,0.8190045248868778,221.0,0.06973988548894705,0.10631809046997842,0.02714932126696834
rf_01,300,sqrt,1,balanced,Beet (sugar beet / fodder beet),0.8310502283105022,0.8465116279069768,0.8161434977578476,223.0,0.7710280373831776,0.8048780487804879,0.7399103139013453,223.0,0.06002219092732464,0.04163357912648891,0.07623318385650224
rf_01,300,sqrt,1,balanced,Maize,0.6948775055679287,0.6724137931034483,0.7188940092165899,217.0,0.622680412371134,0.5634328358208955,0.695852534562212,217.0,0.07219709319679468,0.10898095728255275,0.02304147465437789
rf_01,300,sqrt,1,balanced,Oilseed rape,0.8995215311004785,0.8909952606635071,0.9082125603864735,207.0,0.8159203980099502,0.841025641025641,0.7922705314009661,207.0,0.0836011330905283,0.04996961963786606,0.11594202898550732
rf_01,300,sqrt,1,balanced,Potatoes,0.7894736842105263,0.8048780487804879,0.7746478873239436,213.0,0.678391959798995,0.7297297297297297,0.6338028169014085,213.0,0.1110817244115313,0.07514831905075814,0.14084507042253513
rf_01,300,sqrt,1,balanced,Pulses / field beans and peas,0.6744186046511628,0.6651376146788991,0.6839622641509434,212.0,0.5087281795511222,0.5396825396825397,0.4811320754716981,212.0,0.16569042510004062,0.12545507499635944,0.2028301886792453
rf_02,300,sqrt,1,balanced_subsample,Winter wheat,0.8019559902200489,0.8241206030150754,0.780952380952381,210.0,0.7440758293838863,0.7405660377358491,0.7476190476190476,210.0,0.05788016083616265,0.08355456527922633,0.033333333333333326
rf_02,300,sqrt,1,balanced_subsample,Winter barley,0.7926267281105991,0.8037383177570093,0.7818181818181819,220.0,0.7545454545454545,0.7545454545454545,0.7545454545454545,220.0,0.03808127356514457,0.049192863211554805,0.027272727272727337
rf_02,300,sqrt,1,balanced_subsample,Spring barley,0.8482142857142857,0.8370044052863436,0.8597285067873304,221.0,0.7623126338329764,0.7235772357723578,0.8054298642533937,221.0,0.08590165188130927,0.11342716951398579,0.05429864253393668
rf_02,300,sqrt,1,balanced_subsample,Beet (sugar beet / fodder beet),0.8237986270022883,0.8411214953271028,0.8071748878923767,223.0,0.7677725118483413,0.8140703517587939,0.726457399103139,223.0,0.056026115153947065,0.027051143568308844,0.08071748878923768
rf_02,300,sqrt,1,balanced_subsample,Maize,0.6981981981981982,0.6828193832599119,0.7142857142857143,217.0,0.6205450733752621,0.5692307692307692,0.6820276497695853,217.0,0.07765312482293607,0.11358861402914266,0.032258064516129004
rf_02,300,sqrt,1,balanced_subsample,Oilseed rape,0.8968824940047961,0.8904761904761904,0.9033816425120773,207.0,0.8157248157248157,0.83,0.8019323671497585,207.0,0.08115767827998044,0.06047619047619046,0.10144927536231885
rf_02,300,sqrt,1,balanced_subsample,Potatoes,0.7817745803357314,0.7990196078431373,0.7652582159624414,213.0,0.6932668329177057,0.7393617021276596,0.6525821596244131,213.0,0.0885077474180257,0.05965790571547769,0.11267605633802824
rf_02,300,sqrt,1,balanced_subsample,Pulses / field beans and peas,0.6727272727272727,0.6491228070175439,0.6981132075471698,212.0,0.5219512195121951,0.5404040404040404,0.5047169811320755,212.0,0.1507760532150776,0.10871876661350344,0.19339622641509424
rf_03,300,sqrt,3,balanced,Winter wheat,0.8029556650246306,0.8316326530612245,0.7761904761904762,210.0,0.7370892018779343,0.7268518518518519,0.7476190476190476,210.0,0.06586646314669631,0.10478080120937261,0.02857142857142858
rf_03,300,sqrt,3,balanced,Winter barley,0.7954022988505747,0.8046511627906977,0.7863636363636364,220.0,0.7437641723356009,0.7420814479638009,0.7454545454545455,220.0,0.05163812651497379,0.06256971482689677,0.040909090909090895
rf_03,300,sqrt,3,balanced,Spring barley,0.8404494382022472,0.8348214285714286,0.8461538461538461,221.0,0.760914760914761,0.7038461538461539,0.8280542986425339,221.0,0.0795346772874862,0.1309752747252747,0.018099547511312264
rf_03,300,sqrt,3,balanced,Beet (sugar beet / fodder beet),0.8181818181818182,0.8294930875576036,0.8071748878923767,223.0,0.7743467933491687,0.8232323232323232,0.7309417040358744,223.0,0.04383502483264956,0.0062607643252804435,0.07623318385650224
rf_03,300,sqrt,3,balanced,Maize,0.6893424036281179,0.6785714285714286,0.7004608294930875,217.0,0.6206896551724138,0.582995951417004,0.663594470046083,217.0,0.06865274845570413,0.0955754771544246,0.03686635944700456
rf_03,300,sqrt,3,balanced,Oilseed rape,0.8920863309352518,0.8857142857142857,0.8985507246376812,207.0,0.8188585607940446,0.8418367346938775,0.7971014492753623,207.0,0.07322777014120718,0.043877551020408134,0.10144927536231885
rf_03,300,sqrt,3,balanced,Potatoes,0.7761904761904762,0.7874396135265701,0.7652582159624414,213.0,0.6847290640394089,0.7202072538860104,0.6525821596244131,213.0,0.09146141215106729,0.06723235964055974,0.11267605633802824
rf_03,300,sqrt,3,balanced,Pulses / field beans and peas,0.6515837104072398,0.6260869565217392,0.6792452830188679,212.0,0.5148514851485149,0.5416666666666666,0.49056603773584906,212.0,0.13673222525872497,0.08442028985507255,0.18867924528301883
rf_04,300,sqrt,3,balanced_subsample,Winter wheat,0.7990196078431373,0.8232323232323232,0.7761904761904762,210.0,0.7353629976580797,0.7235023041474654,0.7476190476190476,210.0,0.06365661018505764,0.09973001908485779,0.02857142857142858
rf_04,300,sqrt,3,balanced_subsample,Winter barley,0.7963386727688787,0.8018433179723502,0.7909090909090909,220.0,0.7387387387387387,0.7321428571428571,0.7454545454545455,220.0,0.057599934030139965,0.0697004608294931,0.045454545454545414
rf_04,300,sqrt,3,balanced_subsample,Spring barley,0.852017937219731,0.8444444444444444,0.8597285067873304,221.0,0.7526427061310782,0.7063492063492064,0.8054298642533937,221.0,0.09937523108865276,0.13809523809523805,0.05429864253393668
rf_04,300,sqrt,3,balanced_subsample,Beet (sugar beet / fodder beet),0.8190045248868778,0.8264840182648402,0.8116591928251121,223.0,0.7688679245283019,0.8109452736318408,0.7309417040358744,223.0,0.05013660035857592,0.015538744632999424,0.08071748878923768
rf_04,300,sqrt,3,balanced_subsample,Maize,0.6894977168949772,0.6832579185520362,0.695852534562212,217.0,0.6108786610878661,0.5593869731800766,0.6728110599078341,217.0,0.07861905580711104,0.12387094537195964,0.02304147465437789
rf_04,300,sqrt,3,balanced_subsample,Oilseed rape,0.8920863309352518,0.8857142857142857,0.8985507246376812,207.0,0.8170426065162907,0.8489583333333334,0.7874396135265701,207.0,0.07504372441896112,0.036755952380952306,0.11111111111111105
rf_04,300,sqrt,3,balanced_subsample,Potatoes,0.7817745803357314,0.7990196078431373,0.7652582159624414,213.0,0.6886075949367089,0.7472527472527473,0.6384976525821596,213.0,0.09316698539902257,0.05176686059039004,0.12676056338028174
rf_04,300,sqrt,3,balanced_subsample,Pulses / field beans and peas,0.6621315192743764,0.6375545851528385,0.6886792452830188,212.0,0.5320197044334976,0.5567010309278351,0.5094339622641509,212.0,0.13011181484087886,0.0808535542250034,0.17924528301886788
rf_05,300,sqrt,5,balanced,Winter wheat,0.7950617283950617,0.8256410256410256,0.7666666666666667,210.0,0.7365967365967366,0.7214611872146118,0.7523809523809524,210.0,0.058464991798325094,0.10417983842641376,0.014285714285714346
