class,user_accuracy,producer_accuracy,f1_score,support,setting_id,n_estimators,max_features,min_samples_leaf,class_weight,model,reference_note
Winter wheat,0.7314814814814815,0.7523809523809524,0.7417840375586855,210.0,rf_01,300,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7710280373831776,0.75,0.7603686635944701,220.0,rf_01,300,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7211155378486056,0.8190045248868778,0.7669491525423728,221.0,rf_01,300,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8048780487804879,0.7399103139013453,0.7710280373831776,223.0,rf_01,300,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5634328358208955,0.695852534562212,0.622680412371134,217.0,rf_01,300,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.841025641025641,0.7922705314009661,0.8159203980099502,207.0,rf_01,300,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7297297297297297,0.6338028169014085,0.678391959798995,213.0,rf_01,300,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5396825396825397,0.4811320754716981,0.5087281795511222,212.0,rf_01,300,sqrt,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8393782383419689,0.7714285714285715,0.8039702233250621,210.0,rf_01,300,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7937219730941704,0.8045454545454546,0.7990970654627539,220.0,rf_01,300,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.827433628318584,0.8461538461538461,0.8366890380313199,221.0,rf_01,300,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8465116279069768,0.8161434977578476,0.8310502283105022,223.0,rf_01,300,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6724137931034483,0.7188940092165899,0.6948775055679287,217.0,rf_01,300,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8909952606635071,0.9082125603864735,0.8995215311004785,207.0,rf_01,300,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.8048780487804879,0.7746478873239436,0.7894736842105263,213.0,rf_01,300,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6651376146788991,0.6839622641509434,0.6744186046511628,212.0,rf_01,300,sqrt,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7405660377358491,0.7476190476190476,0.7440758293838863,210.0,rf_02,300,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7545454545454545,0.7545454545454545,0.7545454545454545,220.0,rf_02,300,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7235772357723578,0.8054298642533937,0.7623126338329764,221.0,rf_02,300,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8140703517587939,0.726457399103139,0.7677725118483413,223.0,rf_02,300,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5692307692307692,0.6820276497695853,0.6205450733752621,217.0,rf_02,300,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.83,0.8019323671497585,0.8157248157248157,207.0,rf_02,300,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7393617021276596,0.6525821596244131,0.6932668329177057,213.0,rf_02,300,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5404040404040404,0.5047169811320755,0.5219512195121951,212.0,rf_02,300,sqrt,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
