setting_id,n_estimators,max_features,min_samples_leaf,class_weight,overall_agreement_s1s2,balanced_accuracy_s1s2,macro_f1_s1s2,weighted_f1_s1s2,overall_agreement_s2_only,balanced_accuracy_s2_only,macro_f1_s2_only,weighted_f1_s2_only,overall_agreement_delta,s1s2_better_overall_agreement,balanced_accuracy_delta,s1s2_better_balanced_accuracy,macro_f1_delta,s1s2_better_macro_f1,weighted_f1_delta,s1s2_better_weighted_f1
rf_01,300,sqrt,1,balanced,0.7904817179338364,0.7904985113704588,0.7911372350824668,0.7910572223953343,0.7086477074869414,0.7080442186881826,0.7082313551012385,0.7085640175862101,0.08183401044689498,True,0.08245429268227622,True,0.08290587998122834,True,0.08249320480912414,True
rf_02,300,sqrt,1,balanced_subsample,0.7887405687753918,0.788839092219709,0.7895222720391526,0.7894665941918769,0.709808473592571,0.7094138653996084,0.7100242963925797,0.7102571666369178,0.07893209518282074,True,0.07942522682010067,True,0.0794979756465729,True,0.07920942755495908,True
rf_03,300,sqrt,3,balanced,0.7823563551944284,0.7824247374640517,0.7832740176775446,0.7832365390744899,0.7074869413813116,0.7069892140542136,0.7069054617039808,0.7071662972349887,0.07486941381311674,True,0.07543552340983817,True,0.07636855597356373,True,0.07607024183950117,True
rf_04,300,sqrt,3,balanced_subsample,0.7858386535113174,0.7858534983946703,0.7864838612698701,0.7864743712124388,0.7051654091700522,0.704703431205447,0.7055201167538202,0.7056821946151238,0.08067324434126522,True,0.08115006718922335,True,0.08096374451604993,True,0.08079217659731497,True
rf_05,300,sqrt,5,balanced,0.783517121300058,0.7835614203974731,0.7842961245364812,0.7842577371859634,0.702263493905978,0.7017060434339384,0.7015958879888804,0.7018522741331688,0.08125362739408004,True,0.08185537696353473,True,0.08270023654760084,True,0.08240546305279461,True
rf_06,300,sqrt,5,balanced_subsample,0.7829367382472432,0.7829910187650458,0.7838459763957579,0.7838494773495427,0.706326175275682,0.7058907460152601,0.7056798855627543,0.705910370404898,0.07661056297156121,True,0.0771002727497857,True,0.07816609083300363,True,0.07793910694464468,True
rf_07,300,log2,1,balanced,0.783517121300058,0.7836246446567408,0.7846547535072312,0.7845030509289938,0.709808473592571,0.7093858061721383,0.7104401562461491,0.7106590789212598,0.07370864770748697,True,0.07423883848460244,True,0.07421459726108215,True,0.07384397200773396,True
rf_08,300,log2,1,balanced_subsample,0.7852582704585026,0.7852163232040319,0.7856319560992072,0.7855491531685074,0.7132907719094602,0.7128996829680343,0.7138243271794739,0.7140102008695208,0.07196749854904239,True,0.0723166402359976,True,0.07180762891973336,True,0.07153895229898655,True
rf_09,300,log2,3,balanced,0.7823563551944284,0.7824607470000009,0.7831383675032211,0.7830915799578766,0.7005223447475334,0.6999294654287667,0.6999200371368823,0.7002842966888229,0.08183401044689498,True,0.08253128157123424,True,0.08321833036633874,True,0.08280728326905373,True
rf_10,300,log2,3,balanced_subsample,0.7887405687753918,0.7889178716806174,0.7896572141623031,0.7895536953657278,0.701683110853163,0.7011581938276181,0.701042475629786,0.7013288109395999,0.08705745792222874,True,0.08775967785299932,True,0.088614738532517,True,0.08822488442612797,True
rf_11,300,log2,5,balanced,0.7846778874056878,0.7847618131939307,0.7855782944093873,0.7855892580636739,0.7028438769587928,0.702353785947832,0.7026418722777429,0.7028494131405613,0.08183401044689498,True,0.08240802724609864,True,0.08293642213164443,True,0.0827398449231126,True
rf_12,300,log2,5,balanced_subsample,0.7840975043528728,0.7841905634876585,0.7847770474163589,0.7846923712798735,0.6970400464306442,0.6965419576247143,0.6966254936297923,0.6968788318238238,0.08705745792222863,True,0.0876486058629442,True,0.08815155378656658,True,0.08781353945604964,True
rf_13,500,sqrt,1,balanced,0.7887405687753918,0.7888093471323551,0.7893431113576138,0.789233430821696,0.7132907719094602,0.712771062723772,0.7136086622133206,0.7139127021358398,0.07544979686593156,True,0.07603828440858307,True,0.07573444914429317,True,0.07532072868585615,True
rf_14,500,sqrt,1,balanced_subsample,0.7910621009866512,0.7911457645981781,0.7916214835192474,0.7915479377680644,0.7167730702263494,0.7163263620260113,0.7171560563942653,0.7174154888835461,0.0742890307603018,True,0.0748194025721668,True,0.07446542712498216,True,0.07413244888451831,True
rf_15,500,sqrt,3,balanced,0.7852582704585026,0.7854185049793755,0.7860336930790516,0.7859594628650378,0.7074869413813116,0.7069062731609854,0.7069714285966042,0.7072604067208368,0.07777132907719098,True,0.07851223181839007,True,0.07906226448244735,True,0.07869905614420103,True
